company,display_name,tier,skill_count,npm_package,npm_status,beads_epic_id,skills_created,skills_tested,website_status,marketplace_status,notes
perplexity,Perplexity,pro,18,@intentsolutionsio/perplexity-pack,not_reserved,ccpi-perplexity,0,0,not_started,not_added,
linear,Linear,pro,18,@intentsolutionsio/linear-pack,not_reserved,ccpi-linear,0,0,not_started,not_added,
flyio,Fly.io,pro,18,@intentsolutionsio/flyio-pack,not_reserved,ccpi-flyio,0,0,not_started,not_added,
stackblitz,StackBlitz,pro,18,@intentsolutionsio/stackblitz-pack,not_reserved,ccpi-stackblitz,0,0,not_started,not_added,
framer,Framer,pro,18,@intentsolutionsio/framer-pack,not_reserved,ccpi-framer,0,0,not_started,not_added,
hex,Hex,pro,18,@intentsolutionsio/hex-pack,not_reserved,ccpi-hex,0,0,not_started,not_added,
fathom,Fathom,pro,18,@intentsolutionsio/fathom-pack,not_reserved,ccpi-fathom,0,0,not_started,not_added,
elevenlabs,ElevenLabs,pro,18,@intentsolutionsio/elevenlabs-pack,not_reserved,ccpi-elevenlabs,0,0,not_started,not_added,
deepgram,Deepgram,pro,18,@intentsolutionsio/deepgram-pack,not_reserved,ccpi-deepgram,0,0,not_started,not_added,
assemblyai,AssemblyAI,pro,18,@intentsolutionsio/assemblyai-pack,not_reserved,ccpi-assemblyai,0,0,not_started,not_added,
retellai,Retell AI,pro,18,@intentsolutionsio/retellai-pack,not_reserved,ccpi-retellai,0,0,not_started,not_added,
runway,Runway,pro,18,@intentsolutionsio/runway-pack,not_reserved,ccpi-runway,0,0,not_started,not_added,
ideogram,Ideogram,pro,18,@intentsolutionsio/ideogram-pack,not_reserved,ccpi-ideogram,0,0,not_started,not_added,
firecrawl,FireCrawl,pro,18,@intentsolutionsio/firecrawl-pack,not_reserved,ccpi-firecrawl,0,0,not_started,not_added,
exa,Exa,pro,18,@intentsolutionsio/exa-pack,not_reserved,ccpi-exa,0,0,not_started,not_added,
customerio,Customer.io,pro,18,@intentsolutionsio/customerio-pack,not_reserved,ccpi-customerio,0,0,not_started,not_added,
attio,Attio,pro,18,@intentsolutionsio/attio-pack,not_reserved,ccpi-attio,0,0,not_started,not_added,
apollo,Apollo,pro,18,@intentsolutionsio/apollo-pack,not_reserved,ccpi-apollo,0,0,not_started,not_added,
windsurf,Windsurf,pro,18,@intentsolutionsio/windsurf-pack,not_reserved,ccpi-windsurf,0,0,not_started,not_added,
clay,Clay,standard,12,@intentsolutionsio/clay-pack,not_reserved,ccpi-clay,0,0,not_started,not_added,
coderabbit,CodeRabbit,standard,12,@intentsolutionsio/coderabbit-pack,not_reserved,ccpi-coderabbit,0,0,not_started,not_added,
fireflies,Fireflies.ai,standard,12,@intentsolutionsio/fireflies-pack,not_reserved,ccpi-fireflies,0,0,not_started,not_added,
gamma,Gamma,standard,12,@intentsolutionsio/gamma-pack,not_reserved,ccpi-gamma,0,0,not_started,not_added,
granola,Granola,standard,12,@intentsolutionsio/granola-pack,not_reserved,ccpi-granola,0,0,not_started,not_added,
instantly,Instantly,standard,12,@intentsolutionsio/instantly-pack,not_reserved,ccpi-instantly,0,0,not_started,not_added,
klingai,Kling AI,standard,12,@intentsolutionsio/klingai-pack,not_reserved,ccpi-klingai,0,0,not_started,not_added,
lindy,Lindy,standard,12,@intentsolutionsio/lindy-pack,not_reserved,ccpi-lindy,0,0,not_started,not_added,
serpapi,SerpApi,standard,12,@intentsolutionsio/serpapi-pack,not_reserved,ccpi-serpapi,0,0,not_started,not_added,
vastai,Vast.ai,standard,12,@intentsolutionsio/vastai-pack,not_reserved,ccpi-vastai,0,0,not_started,not_added,
juicebox,Juicebox,standard,12,@intentsolutionsio/juicebox-pack,not_reserved,ccpi-juicebox,0,0,not_started,not_added,
fondo,Fondo,standard,12,@intentsolutionsio/fondo-pack,not_reserved,ccpi-fondo,0,0,not_started,not_added,
finta,Finta,standard,12,@intentsolutionsio/finta-pack,not_reserved,ccpi-finta,0,0,not_started,not_added,
wispr,Wispr,standard,12,@intentsolutionsio/wispr-pack,not_reserved,ccpi-wispr,0,0,not_started,not_added,
anima,Anima,standard,12,@intentsolutionsio/anima-pack,not_reserved,ccpi-anima,0,0,not_started,not_added,
notion,Notion,flagship+,30,@intentsolutionsio/notion-pack,not_reserved,ccpi-notion,0,0,not_started,not_added,23.4% market share - top note-taking app
evernote,Evernote,flagship,24,@intentsolutionsio/evernote-pack,not_reserved,ccpi-evernote,0,0,not_started,not_added,15.9% market share
apple-notes,Apple Notes,flagship,24,@intentsolutionsio/apple-notes-pack,not_reserved,ccpi-apple-notes,0,0,not_started,not_added,15.5% market share
obsidian,Obsidian,pro,18,@intentsolutionsio/obsidian-pack,not_reserved,ccpi-obsidian,0,0,not_started,not_added,8.7% market share
onenote,OneNote,pro,18,@intentsolutionsio/onenote-pack,not_reserved,ccpi-onenote,0,0,not_started,not_added,7.9% market share
documenso,Documenso,pro,18,@intentsolutionsio/documenso-pack,not_reserved,ccpi-documenso,0,0,not_started,not_added,open-source document signing platform - DocuSign alternative
